127.0.0.1 - - [23/Jan/2023:13:20:28 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Jan/2023:13:20:31 +0530] "GET /project_3/ HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [23/Jan/2023:13:20:31 +0530] "GET /project_3/img/back%20image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2023:13:20:31 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Jan/2023:13:20:43 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [23/Jan/2023:13:20:43 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [23/Jan/2023:13:20:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [23/Jan/2023:13:20:50 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [23/Jan/2023:13:20:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [23/Jan/2023:13:21:01 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
