127.0.0.1 - - [03/Feb/2023:13:50:48 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:50:51 +0530] "GET /project_3/ HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:50:52 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:51:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3618
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:51:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:51:13 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:51:38 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:51:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9587
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:51:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:51:46 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 17395
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:51:52 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 200 14174
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:51:59 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 200 13290
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:52:04 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 200 13296
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:52:09 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 200 13296
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:52:10 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:52:10 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 17395
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:52:15 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 200 10475
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:52:17 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:52:17 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 17395
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:53:25 +0530] "GET /project_3/ctl/CollegeCtl?id=6 HTTP/1.1" 200 13589
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:53:28 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 13626
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:53:31 +0530] "POST /project_3/ctl/CollegeCtl HTTP/1.1" 200 13620
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:53:47 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 200 13283
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:55:11 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 200 10475
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:55:14 +0530] "POST /project_3/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:55:14 +0530] "GET /project_3/ctl/CollegeListCtl HTTP/1.1" 200 17395
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:55:21 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 15835
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:55:21 +0530] "GET /project_3/img/white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:55:35 +0530] "POST /project_3/ctl/SubjectListCtl HTTP/1.1" 200 10311
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:55:37 +0530] "POST /project_3/ctl/SubjectListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:55:37 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 15835
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:55:57 +0530] "GET /project_3/ctl/TimeTableListCtl HTTP/1.1" 200 20035
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:55:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:56:05 +0530] "GET /project_3/ctl/TimeTableCtl?id=8 HTTP/1.1" 200 17520
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:56:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:56:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:56:15 +0530] "GET /project_3/ctl/TimeTableCtl?id=8000 HTTP/1.1" 200 17413
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:56:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:56:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:56:33 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 17828
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:56:37 +0530] "GET /project_3/ctl/StudentCtl?id=10 HTTP/1.1" 200 16308
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:56:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [03/Feb/2023:13:56:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
