127.0.0.1 - - [24/Jan/2023:13:33:34 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:33:36 +0530] "GET /project_3/ HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:33:36 +0530] "GET /project_3/img/back%20image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:33:36 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:33:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:33:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:33:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:33:45 +0530] "GET /project_3/img/wc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:33:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:35:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:35:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:35:48 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:35:48 +0530] "GET /project_3/img/businessman-g173508c6c_1920.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:36:51 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:36:51 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:36:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:37:19 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 17453
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:37:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:37:19 +0530] "GET /project_3/img/whit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:37:44 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15048
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:37:44 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:37:44 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:37:50 +0530] "GET /project_3/img/wallpa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:37:50 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:41:01 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7123
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:41:06 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7123
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:41:13 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:41:14 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:41:15 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11183
0:0:0:0:0:0:0:1 - - [24/Jan/2023:13:41:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
