0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/package-search-index.zip HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/member-search-index.js HTTP/1.1" 200 113165
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/search.js HTTP/1.1" 200 12302
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/package-search-index.js HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/resources/glass.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/type-search-index.js HTTP/1.1" 200 5412
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:37:53 +0530] "GET /project_3/doc/resources/x.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:38:03 +0530] "POST /project_3/ctl/FacultyListCtl HTTP/1.1" 200 13959
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:38:11 +0530] "GET /project_3/ctl/FacultyCtl?id=11 HTTP/1.1" 200 20161
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:38:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:38:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:38:27 +0530] "GET /project_3/ctl/FacultyCtl?id=1100 HTTP/1.1" 200 20008
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:38:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:38:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:38:35 +0530] "GET /project_3/ctl/SubjectCtl HTTP/1.1" 200 12951
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:38:40 +0530] "GET /project_3/ctl/CourseListCtl HTTP/1.1" 200 17063
0:0:0:0:0:0:0:1 - - [21/Jan/2023:13:51:13 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16992
